"No.","Time","Source","Destination","Protocol","Length","Info"
"87","44.106263090","192.168.153.128","192.168.153.1","DNS","92","Standard query 0x4235 A mobile.events.data.microsoft.com"
"88","44.341665440","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"89","44.510776943","192.168.153.128","192.168.153.1","DNS","74","Standard query 0xbc11 A api.github.com"
"90","44.681875861","192.168.153.128","192.168.153.1","DNS","88","Standard query 0x886f A marketplace.visualstudio.com"
"91","44.682136132","192.168.153.128","192.168.153.1","DNS","88","Standard query 0x416a HTTPS marketplace.visualstudio.com"
"92","44.684156358","192.168.153.128","192.168.153.1","DNS","80","Standard query 0x8fdb A education.github.com"
"93","44.946154935","192.168.153.128","192.168.153.1","DNS","74","Standard query 0xf76d A api.github.com"
"94","45.177060465","192.168.153.128","192.168.153.1","DNS","101","Standard query 0x1953 A avatars.githubusercontent.com.localdomain"
"95","45.220829901","192.168.153.128","192.168.153.1","DNS","91","Standard query 0x675c A default.exp-tas.com.localdomain"
"96","45.635954707","192.168.153.128","192.168.153.1","DNS","91","Standard query 0x7ad5 A default.exp-tas.com.localdomain"
"97","45.636201419","192.168.153.128","192.168.153.1","DNS","91","Standard query 0xd9dc AAAA default.exp-tas.com.localdomain"
"98","45.683080122","192.168.153.128","192.168.153.1","DNS","80","Standard query 0x5952 A education.github.com"
"99","45.945757719","192.168.153.128","192.168.153.1","DNS","74","Standard query 0x2391 A api.github.com"
"100","46.177652999","192.168.153.128","192.168.153.1","DNS","89","Standard query 0xc88b A avatars.githubusercontent.com"
"101","46.238066867","192.168.153.128","192.168.153.1","DNS","79","Standard query 0x812c A default.exp-tas.com"
"102","46.299471687","192.168.153.128","192.168.153.1","DNS","91","Standard query 0x5e68 A main.vscode-cdn.net.localdomain"
"103","46.461738815","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"104","46.492448821","192.168.153.128","192.168.153.1","DNS","113","Standard query 0xc68e A westus-0.in.applicationinsights.azure.com.localdomain"
"105","46.492740464","192.168.153.128","192.168.153.1","DNS","113","Standard query 0x9c84 AAAA westus-0.in.applicationinsights.azure.com.localdomain"
"106","46.716163211","192.168.153.128","192.168.153.1","DNS","88","Standard query 0xcb54 A marketplace.visualstudio.com"
"107","47.118152488","192.168.153.128","192.168.153.1","DNS","100","Standard query 0xa231 A update.code.visualstudio.com.localdomain"
"108","47.276663015","192.168.153.128","192.168.153.1","DNS","79","Standard query 0x07d1 A main.vscode-cdn.net"
"109","48.135282736","192.168.153.128","192.168.153.1","DNS","88","Standard query 0xef4e A update.code.visualstudio.com"
"110","48.135618444","192.168.153.128","192.168.153.1","DNS","104","Standard query 0x6f0b A mobile.events.data.microsoft.com.localdomain"
"111","48.517780387","192.168.153.128","192.168.153.1","DNS","86","Standard query 0x952d A api.github.com.localdomain"
"112","48.574497614","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"113","49.111227612","192.168.153.128","192.168.153.1","DNS","92","Standard query 0x4235 A mobile.events.data.microsoft.com"
"114","49.516803591","192.168.153.128","192.168.153.1","DNS","74","Standard query 0xbc11 A api.github.com"
"115","49.701203925","192.168.153.128","192.168.153.1","DNS","92","Standard query 0x87de A education.github.com.localdomain"
"116","49.963731728","192.168.153.128","192.168.153.1","DNS","86","Standard query 0xede6 A api.github.com.localdomain"
"117","50.195191358","192.168.153.128","192.168.153.1","DNS","101","Standard query 0x1953 A avatars.githubusercontent.com.localdomain"
"118","50.224528476","192.168.153.128","192.168.153.1","DNS","91","Standard query 0x675c A default.exp-tas.com.localdomain"
"119","50.640730348","192.168.153.128","192.168.153.1","DNS","91","Standard query 0x7ad5 A default.exp-tas.com.localdomain"
"120","50.640845911","192.168.153.128","192.168.153.1","DNS","91","Standard query 0xd9dc AAAA default.exp-tas.com.localdomain"
"121","50.693520530","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"122","50.694183993","192.168.153.128","192.168.153.1","DNS","80","Standard query 0x5952 A education.github.com"
"123","50.959234445","192.168.153.128","192.168.153.1","DNS","74","Standard query 0x2391 A api.github.com"
"124","51.191718288","192.168.153.128","192.168.153.1","DNS","101","Standard query 0x37cc A avatars.githubusercontent.com.localdomain"
"125","51.253332991","192.168.153.128","192.168.153.1","DNS","91","Standard query 0xaf07 A default.exp-tas.com.localdomain"
"126","51.314224101","192.168.153.128","192.168.153.1","DNS","91","Standard query 0x5e68 A main.vscode-cdn.net.localdomain"
"127","51.500522723","192.168.153.128","192.168.153.1","DNS","113","Standard query 0xc68e A westus-0.in.applicationinsights.azure.com.localdomain"
"128","51.500659142","192.168.153.128","192.168.153.1","DNS","113","Standard query 0x9c84 AAAA westus-0.in.applicationinsights.azure.com.localdomain"
"129","51.733416539","192.168.153.128","192.168.153.1","DNS","88","Standard query 0xcb54 A marketplace.visualstudio.com"
"130","52.122579641","192.168.153.128","192.168.153.1","DNS","100","Standard query 0xa231 A update.code.visualstudio.com.localdomain"
"131","52.280505559","192.168.153.128","192.168.153.1","DNS","91","Standard query 0xd413 A main.vscode-cdn.net.localdomain"
"132","52.731883764","192.168.153.128","192.168.153.1","DNS","88","Standard query 0x6ea4 A marketplace.visualstudio.com"
"133","52.814002487","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"134","53.144561294","192.168.153.128","192.168.153.1","DNS","104","Standard query 0x6f0b A mobile.events.data.microsoft.com.localdomain"
"135","53.144810452","192.168.153.128","192.168.153.1","DNS","100","Standard query 0x1fc9 A update.code.visualstudio.com.localdomain"
"136","53.162826634","192.168.153.128","192.168.153.1","DNS","89","Standard query 0x70c9 A avatars.githubusercontent.com"
"137","53.231447774","192.168.153.128","192.168.153.1","DNS","79","Standard query 0x839f A default.exp-tas.com"
"138","53.524605032","192.168.153.128","192.168.153.1","DNS","86","Standard query 0x952d A api.github.com.localdomain"
"139","54.116357661","192.168.153.128","192.168.153.1","DNS","104","Standard query 0xbc7c A mobile.events.data.microsoft.com.localdomain"
"140","54.272639933","192.168.153.128","192.168.153.1","DNS","79","Standard query 0x8fa5 A main.vscode-cdn.net"
"141","54.530053962","192.168.153.128","192.168.153.1","DNS","86","Standard query 0xc16c A api.github.com.localdomain"
"142","54.717690722","192.168.153.128","192.168.153.1","DNS","92","Standard query 0x87de A education.github.com.localdomain"
"143","54.933674893","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"144","54.982842028","192.168.153.128","192.168.153.1","DNS","86","Standard query 0xede6 A api.github.com.localdomain"
"145","55.124059045","192.168.153.128","192.168.153.1","DNS","88","Standard query 0xfca4 A update.code.visualstudio.com"
"146","55.220112010","192.168.153.128","192.168.153.1","DNS","89","Standard query 0x37b1 A avatars.githubusercontent.com"
"147","55.220364748","192.168.153.128","192.168.153.1","DNS","89","Standard query 0xeb2b HTTPS avatars.githubusercontent.com"
"148","55.231986545","192.168.153.128","192.168.153.1","DNS","79","Standard query 0x9d02 A default.exp-tas.com"
"149","55.232212743","192.168.153.128","192.168.153.1","DNS","79","Standard query 0xf3dc HTTPS default.exp-tas.com"
"150","55.644844506","192.168.153.128","192.168.153.1","DNS","99","Standard query 0x1b28 A copilot-telemetry.githubusercontent.com"
"151","55.645000994","192.168.153.128","192.168.153.1","DNS","99","Standard query 0x5523 AAAA copilot-telemetry.githubusercontent.com"
"152","55.710522013","192.168.153.128","192.168.153.1","DNS","92","Standard query 0xead3 A education.github.com.localdomain"
"153","55.973604382","192.168.153.128","192.168.153.1","DNS","86","Standard query 0xdadd A api.github.com.localdomain"
"154","56.116549255","192.168.153.128","192.168.153.1","DNS","92","Standard query 0x8c34 A mobile.events.data.microsoft.com"
"155","56.208193883","192.168.153.128","192.168.153.1","DNS","101","Standard query 0x37cc A avatars.githubusercontent.com.localdomain"
"156","56.239856688","192.168.153.128","192.168.153.1","DNS","89","Standard query 0xe8e9 A avatars.githubusercontent.com"
"157","56.240125813","192.168.153.128","192.168.153.1","DNS","89","Standard query 0x57f2 HTTPS avatars.githubusercontent.com"
"158","56.246296269","192.168.153.128","192.168.153.1","DNS","79","Standard query 0xb24e A default.exp-tas.com"
"159","56.246555562","192.168.153.128","192.168.153.1","DNS","79","Standard query 0xbaaa HTTPS default.exp-tas.com"
"160","56.271677719","192.168.153.128","192.168.153.1","DNS","91","Standard query 0xaf07 A default.exp-tas.com.localdomain"
"161","56.505046016","192.168.153.128","192.168.153.1","DNS","74","Standard query 0xffa2 A api.github.com"
"162","56.505134288","192.168.153.128","192.168.153.1","DNS","74","Standard query 0xb2a6 AAAA api.github.com"
"163","56.512590971","192.168.153.128","192.168.153.1","DNS","74","Standard query 0x8fa7 A api.github.com"
"164","56.736432946","192.168.153.128","192.168.153.1","DNS","100","Standard query 0x820b A marketplace.visualstudio.com.localdomain"
"165","57.059352257","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"166","57.126880211","192.168.153.128","192.168.153.1","DNS","88","Standard query 0x8a87 A update.code.visualstudio.com"
"167","57.127211428","192.168.153.128","192.168.153.1","DNS","88","Standard query 0x65bd HTTPS update.code.visualstudio.com"
"168","57.297995381","192.168.153.128","192.168.153.1","DNS","91","Standard query 0xd413 A main.vscode-cdn.net.localdomain"
"169","57.683525335","192.168.153.128","192.168.153.1","DNS","80","Standard query 0x1ed9 A education.github.com"
"170","57.745355401","192.168.153.128","192.168.153.1","DNS","88","Standard query 0x6ea4 A marketplace.visualstudio.com"
"171","57.946621610","192.168.153.128","192.168.153.1","DNS","74","Standard query 0x730d A api.github.com"
"172","58.144208215","192.168.153.128","192.168.153.1","DNS","88","Standard query 0x0e77 A update.code.visualstudio.com"
"173","58.144762711","192.168.153.128","192.168.153.1","DNS","88","Standard query 0x6713 HTTPS update.code.visualstudio.com"
"174","58.159245852","192.168.153.128","192.168.153.1","DNS","100","Standard query 0x1fc9 A update.code.visualstudio.com.localdomain"
"175","58.161429927","192.168.153.128","192.168.153.1","DNS","92","Standard query 0x6ee7 A mobile.events.data.microsoft.com"
"176","58.161955058","192.168.153.128","192.168.153.1","DNS","92","Standard query 0x170e HTTPS mobile.events.data.microsoft.com"
"177","58.174385639","192.168.153.128","192.168.153.1","DNS","89","Standard query 0x70c9 A avatars.githubusercontent.com"
"178","58.238686958","192.168.153.128","192.168.153.1","DNS","79","Standard query 0x839f A default.exp-tas.com"
"179","58.270608045","192.168.153.128","192.168.153.1","DNS","89","Standard query 0x8a86 A avatars.githubusercontent.com"
"180","58.270831493","192.168.153.128","192.168.153.1","DNS","79","Standard query 0xd432 A default.exp-tas.com"
"181","58.533277660","192.168.153.128","192.168.153.1","DNS","74","Standard query 0xd0fe A api.github.com"
"182","58.533558919","192.168.153.128","192.168.153.1","DNS","74","Standard query 0x7c35 HTTPS api.github.com"
"183","59.121903636","192.168.153.128","192.168.153.1","DNS","104","Standard query 0xbc7c A mobile.events.data.microsoft.com.localdomain"
